name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;336;0;452;3081;1460;3081;1322;0
header;217;152;217;188;1857;188;1857;152
A;1017;217;1017;243;1040;243;1040;217
A;1196;355;1196;362;1204;362;1204;355
B;1018;886;1018;913;1038;913;1038;886
B;672;988;672;1007;686;1007;686;988
A;1304;1082;1304;1088;1310;1088;1310;1082
A;1273;1129;1273;1137;1280;1137;1280;1129
C;1016;1554;1016;1581;1036;1581;1036;1554
B;414;1902;414;1920;427;1920;427;1902
B;654;2173;654;2192;669;2192;669;2173
D;1017;2217;1017;2244;1040;2244;1040;2217
B;470;2219;470;2238;485;2238;485;2219
